,0
Annual return,0.16967828180346678
Cumulative returns,0.3478772262153611
Annual volatility,0.30021996440366727
Sharpe ratio,0.6738601100702247
Calmar ratio,0.46273455672548613
Stability,0.6325483154170509
Max drawdown,-0.36668599597182705
Omega ratio,1.153323289986352
Sortino ratio,0.9330523047090054
Skew,-0.7876329714468737
Kurtosis,15.023677834173082
Tail ratio,1.0485585071419454
Daily value at risk,-0.03702135759875744
